id;name;description;create_at;status
1;punctual eek diffract;enfeeble;unconscious original;ENABLE
2;before phone utterly;buffet;overcooked absent;DISABLE
3;harmonise succour;woot self-control duh;potentially woot round;DISABLE
4;gadzooks;closely regularly nervously;darling heavenly;DISABLE
5;delayed;now define as;catastrophe romaine boo;ENABLE
6;pish and meanwhile;really promptly;zowie;DISABLE
7;speedily yum than;foray porthole;mmm amid off;ENABLE
8;scimitar;billet;energetically;DISABLE
9;sour revolutionise provided;find ick tomorrow;pure ack;DISABLE
10;indeed forenenst;offensive;gee;DISABLE
